,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
Bacteroidaceae;g,Bacteroides;s,caccae,0,0.0009859911163,0,0.01224766529,0.002161902474,0.002780435303,0.008803023045,0,0,0.002854257234,0.00158072818,0.001679353084,0.003023516237,0.001536640048,0.001524927826
Bacteroidaceae;g,Bacteroides;s,cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0.003461925353,0,0,0,0.0004945607647
Bacteroidaceae;g,Bacteroides;s,clarus,0,0,0,0,0,0.003632504186,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,coprocola,0,0.01475081759,0.1525717927,0,0,0,0,0,0,0.004493625492,0,0.005019805414,0,0,0.001359061558
Bacteroidaceae;g,Bacteroides;s,coprophilus,0,0.02413237663,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,dorei,0,0,0.06207017775,0,0,0.07096089452,0.008824312098,0.05965349103,0.1285017049,0.0003512931981,0.04346349302,0.004745997846,0.08329227324,0.0011083961,0.04587380704
Bacteroidaceae;g,Bacteroides;s,eggerthii,0,0.0008590813687,0,0,0,0,0,0,0,0,0.02945902517,0.0008031688663,0,0,0.004323170577
Bacteroidaceae;g,Bacteroides;s,faecis,0,0,0,0,0,0,0,0,0.000501437454,0,0,0.0005293612982,0,0,0.0001472569646
Bacteroidaceae;g,Bacteroides;s,faecis-finegoldii-thetaiotaomicron,0,0.0003514423781,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae;g,Bacteroides;s,finegoldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01901906945,0.002717009922
Bacteroidaceae;g,Bacteroides;s,fragilis,0,0,0.01083206996,0,0,0.002645898111,0.002799510352,0,0.002607474761,0,0,0,0,0,0.0003724963944
Bacteroidaceae;g,Bacteroides;s,fragilis-ovatus,0,0,0.01041460682,0.002208953918,0,0.02137646496,0.005226462292,0,0.002707762252,0,0.002364560335,0.0005293612982,0.004815229563,0.006650376603,0.002438184293
Bacteroidaceae;g,Bacteroides;s,intestinalis,0,0,0.01414980335,0,0,0,0,0.01219006121,0,0,0,0,0.0003359462486,0,0.001789429637
Bacteroidaceae;g,Bacteroides;s,massiliensis,0,0,0,0,0,0,0,0,0,0.003498294764,0.004872823233,0.009437234178,0.0633818589,0.03660226214,0.01682749617
